date,type,category,description,amount
2025-12-07,expense,Salaries & Wages,Exp txn,829.06
2025-08-09,expense,Marketing & Advertising,Exp txn,103.52
2025-03-19,revenue,Subscription Income,Rev txn,374.86
2025-01-01,revenue,Product Sales,Rev txn,4654.62
2025-02-22,expense,Software & Subscriptions,Exp txn,1082.24
2025-09-17,expense,Software & Subscriptions,Exp txn,1656.22
2025-07-05,revenue,Subscription Income,Rev txn,3814.44
2025-06-04,revenue,Product Sales,Rev txn,3439.24
2025-06-09,expense,Cost of Goods Sold (COGS),Exp txn,51.12
2025-02-17,expense,Cost of Goods Sold (COGS),Exp txn,28.55
2025-04-28,expense,Salaries & Wages,Exp txn,60.56
2025-10-31,revenue,Online / Digital Sales,Rev txn,804.85
2025-06-15,revenue,Service Revenue,Rev txn,541.7
2025-11-04,revenue,Other Revenue,Rev txn,793.59
2025-10-30,revenue,Online / Digital Sales,Rev txn,2223.59
2025-12-04,expense,Cost of Goods Sold (COGS),Exp txn,1615.72
2025-02-01,expense,Cost of Goods Sold (COGS),Exp txn,161.24
2025-05-17,revenue,Service Revenue,Rev txn,340.3
2025-12-15,revenue,Other Revenue,Rev txn,3132.63
2025-02-07,revenue,Product Sales,Rev txn,1571.32
2025-07-02,revenue,Product Sales,Rev txn,2849.71
2025-03-01,revenue,Other Revenue,Rev txn,4175.16
2025-03-01,expense,Marketing & Advertising,Exp txn,1688.8
2025-02-15,revenue,Service Revenue,Rev txn,4963.36
2025-07-06,revenue,Consulting / Retainers,Rev txn,4632.09
2025-01-20,revenue,Consulting / Retainers,Rev txn,2250.66
2025-04-03,expense,Rent / Office Space,Exp txn,1001.08
2025-03-16,revenue,Consulting / Retainers,Rev txn,4728.88
2025-12-18,revenue,Consulting / Retainers,Rev txn,1554.33
2025-11-19,expense,Rent / Office Space,Exp txn,660.4
2025-11-14,expense,Software & Subscriptions,Exp txn,957.34
2025-10-23,revenue,Service Revenue,Rev txn,3045.54
2025-03-21,expense,Other Expense,Exp txn,521.22
2025-03-17,revenue,Subscription Income,Rev txn,2273.56
2025-10-13,expense,Cost of Goods Sold (COGS),Exp txn,845.4
2025-08-11,expense,Rent / Office Space,Exp txn,1105.95
2025-01-23,revenue,Subscription Income,Rev txn,3267.98
2025-06-24,revenue,Subscription Income,Rev txn,3531.33
2025-05-02,expense,Marketing & Advertising,Exp txn,1065.53
2025-01-08,expense,Marketing & Advertising,Exp txn,1733.78
2025-04-18,revenue,Other Revenue,Rev txn,327.39
2025-07-27,revenue,Product Sales,Rev txn,1611.94
2025-04-16,revenue,Consulting / Retainers,Rev txn,2658.91
2025-12-01,revenue,Service Revenue,Rev txn,311.62
2025-07-03,expense,Software & Subscriptions,Exp txn,310.04
2025-07-04,revenue,Online / Digital Sales,Rev txn,4247.95
2025-06-13,expense,Salaries & Wages,Exp txn,1327.22
2025-04-23,revenue,Online / Digital Sales,Rev txn,2543.55
2025-08-18,revenue,Service Revenue,Rev txn,3287.62
2025-06-24,revenue,Online / Digital Sales,Rev txn,2456.2
2025-12-15,revenue,Online / Digital Sales,Rev txn,4903.92
