date,type,category,description,amount
2025-09-08,revenue,Service Revenue,Referral commission,12879.11
18/12/2023,expense,Marketing & Advertising,AWS hosting bill,13450.11
2024-04-23,Revenue,Affiliate / Referral Revenue,Q1 client invoice,14463.21
2020-10-02,EXPENSE,Professional Services (Legal/Accounting),Software license renewal,9922.44
2022-03-01,revenue,Subscription Income,Digital download sale,477.33
2023-03-14,revenue,Product Sales,Product bundle sale,19810.19
2020-10-12,expense,Salaries & Wages,Equipment purchase,13983.69
2023-12-18,revenue,Affiliate / Referral Revenue,Service contract payment,-6562.62
2022-04-27,revenue,Consulting / Retainers,Retainer fee,N/A
2021-12-21,expense,Salaries & Wages,Software license renewal,11203.69
2023-09-17,revenue,Subscription Income,Wholesale shipment,
2023-09-17,revenue,Subscription Income,Wholesale shipment,
2022-02-28,revenue,Other Revenue,Annual subscription,18758.0
2020-02-19,revenue,Consulting,Project milestone payment,10836.81
2022-11-05,revenue,Other Revenue,Service contract payment,24036.4
2025-01-31,revenue,Subscription Income,Retainer fee,4025.75
2020-01-08,revenue,Wholesale Revenue,Enterprise agreement,7351.11
2021-03-30,expense,Marketing & Advertising,Legal retainer fee,-7199.73
2025-10-29,revenue,Subscription,Digital download sale,12980.22
2022-03-31,revenue,Other Revenue,Consulting engagement,17788.07
2025-02-19,expense,Cost of Goods Sold (COGS),Travel & lodging,"$12,181.90"
2024-10-29,revenue,Product Sales,  Monthly subscription charge  ,14136.26
2025-01-02,revenue,Online / Digital Sales,Online store order,14044.81
2023-04-01,revenue,Online / Digital Sales,Digital download sale,-8516.4
2025-10-22,revenue,Subscription Income,Annual subscription,19010.38
2022-11-21,revenue,Wholesale Revenue,Service contract payment,24958.51
2018-12-11,revenue,Subscription Income,Wholesale shipment,19049.77
2020-12-16,Costs,Online / Digital Sales,Retainer fee,308.85
2020-04-11,REVENUE,Service Revenue,License renewal,14972.97
2024-06-30,expense,Professional Services (Legal/Accounting),AWS hosting bill,(4563.15)
2025-05-16,revenue,Service Revenue,Affiliate payout received,"$8,435.37"
2025-10-25,expense,Software & Subscriptions,Accounting services,14535.2
2026-07-11,expense,Cost of Goods Sold (COGS),Insurance premium,5500.47
09/16/2022,revenue,Online / Digital Sales,Retainer fee,23520.08
2024-10-12,revenue,Consulting / Retainers,Consulting engagement,2657.18
2024-02-09,revenue,,Service contract payment,6080.36
2022-04-01,expense,Other Expense,Google Ads campaign,11212.35
2023-10-26,revenue,Affiliate / Referral Revenue,Wholesale shipment,7788.87
2020-02-15,EXPENSE,Other Expense,Office supplies,10554.46
2025-06-03,expense,Salaries & Wages,AWS hosting bill,-7940.58
2025-02-28,EXPENSE,Service Revenue,License renewal,4441.33
2023-06-21,EXPENSE,Other Revenue,Affiliate payout received,7838.51
"Jan 14, 2025",revenue,Other Revenue,Service contract payment,5972.63
2023-06-11,revenue,Other Revenue,Referral commission,15816.14
2022-05-02,revenue,,Product bundle sale,991.09
