date,type,category,description,amount
2025-01-01,revenue,Product Sales,penny-0,0.01
2025-01-01,revenue,Product Sales,penny-1,0.01
2025-01-01,revenue,Product Sales,penny-2,0.01
2025-01-01,revenue,Product Sales,penny-3,0.01
2025-01-01,revenue,Product Sales,penny-4,0.01
2025-01-01,revenue,Product Sales,penny-5,0.01
2025-01-01,revenue,Product Sales,penny-6,0.01
2025-01-01,revenue,Product Sales,penny-7,0.01
2025-01-01,revenue,Product Sales,penny-8,0.01
2025-01-01,revenue,Product Sales,penny-9,0.01
2025-01-01,revenue,Product Sales,penny-10,0.01
2025-01-01,revenue,Product Sales,penny-11,0.01
2025-01-01,revenue,Product Sales,penny-12,0.01
2025-01-01,revenue,Product Sales,penny-13,0.01
2025-01-01,revenue,Product Sales,penny-14,0.01
2025-01-01,revenue,Product Sales,penny-15,0.01
2025-01-01,revenue,Product Sales,penny-16,0.01
2025-01-01,revenue,Product Sales,penny-17,0.01
2025-01-01,revenue,Product Sales,penny-18,0.01
2025-01-01,revenue,Product Sales,penny-19,0.01
2025-01-01,revenue,Product Sales,penny-20,0.01
2025-01-01,revenue,Product Sales,penny-21,0.01
2025-01-01,revenue,Product Sales,penny-22,0.01
2025-01-01,revenue,Product Sales,penny-23,0.01
2025-01-01,revenue,Product Sales,penny-24,0.01
2025-01-01,revenue,Product Sales,penny-25,0.01
2025-01-01,revenue,Product Sales,penny-26,0.01
2025-01-01,revenue,Product Sales,penny-27,0.01
2025-01-01,revenue,Product Sales,penny-28,0.01
2025-01-01,revenue,Product Sales,penny-29,0.01
2025-01-01,revenue,Product Sales,penny-30,0.01
2025-01-01,revenue,Product Sales,penny-31,0.01
2025-01-01,revenue,Product Sales,penny-32,0.01
2025-01-01,revenue,Product Sales,penny-33,0.01
2025-01-01,revenue,Product Sales,penny-34,0.01
2025-01-01,revenue,Product Sales,penny-35,0.01
2025-01-01,revenue,Product Sales,penny-36,0.01
2025-01-01,revenue,Product Sales,penny-37,0.01
2025-01-01,revenue,Product Sales,penny-38,0.01
