date,type,category,description,amount
2025-05-13,revenue,Product Sales,Normal amount,1234.56
2025-05-13,revenue,Consulting / Retainers,Currency + thousands,"$1,234.56"
2025-05-13,revenue,Other Revenue,Accounting negative,(99.00)
2025-05-13,revenue,Service Revenue,Negative signed,-50
2025-05-13,revenue,Product Sales,Empty description,
2025-05-13,expense,Cost of Goods Sold (COGS),<script>alert(1)</script>,200.00
2025-05-13,revenue,Product Sales,"""Smith, John LLC""",500.00
2025-05-13,expense,Salaries & Wages,"He said ""hi""",300.00
05/13/2025,revenue,Service Revenue,MM/DD/YYYY date,150.00
13/05/2025,revenue,Service Revenue,DD/MM/YYYY date (ambiguous),150.00
2099-12-31,revenue,Product Sales,Far future date,100.00
1899-01-01,expense,Other Expense,Far past date,50.00
2025-05-13,revenue,Café,Unicode category,75.00
2025-05-13,expense,日本円,Unicode category 2,25.00
2025-05-13,expense,Other Expense,=SUM(A1:A10),100.00
2025-05-13,expense,Other Expense,+cmd|calc,50.00
2025-05-13,expense,Marketing & Advertising,@SUM injection,75.00
2025-05-13,revenue,Product Sales,Zero amount,0.00
2025-05-13,revenue,Product Sales,Tiny amount,0.001
2025-05-13,revenue,Product Sales,Huge amount,999999999.99
